DOClass,Disease,DiseaseClass,EvidenceIndexGDA,EvidenceLevelGDA,FirstRef,Gene,GeneDPI,GeneDSI,GeneFullName,GenePLI,HPOClass,LastRef,NumDiseasesAssociatedToGene,NumGenesDisease,NumPMIDs,NumVariantsAssociatedToGene,NumVariantsDisease,NumVariantsGDA,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,SemanticType,Type,UnitProt,diseaseUMLSCUI,geneEnsemblIDs,geneNcbiID,geneNcbiType,numCTs,numberChemsIncludedInEvidence,numberPmidsWithChemsIncludedInEvidence
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2017.0,PTPN1,0.91,0.47,protein tyrosine phosphatase non-receptor type 1,1.0,Abnormality of the cardiovascular system (01626),2017.0,17,301,1,4,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-168256,R-HSA-74160","Hemostasis,Signal Transduction,Immune System,Gene expression (Transcription)",,0.65,Disease or Syndrome (T047),disease,"A8K3M3,P18031,B4DSN5",C0020538,ENSG00000196396,5770,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6666666666666666,,2006.0,CCN2,0.91,0.4,cellular communication network factor 2,2.6587e-06,Abnormality of the cardiovascular system (01626),2006.0,23,301,1,0,371,0,R-HSA-74160,Gene expression (Transcription),Signaling,0.65,Disease or Syndrome (T047),disease,"P29279,Q5M8T4",C0020538,ENSG00000118523,1490,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.3333333333333333,,2016.0,CXCR2,0.91,0.43,C-X-C motif chemokine receptor 2,0.24481,Abnormality of the cardiovascular system (01626),2016.0,24,301,1,3,371,0,"R-HSA-162582,R-HSA-168256","Signal Transduction,Immune System",G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,"P25025,Q53PC4",C0020538,ENSG00000180871,3579,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2003.0,ERAP1,0.91,0.53,endoplasmic reticulum aminopeptidase 1,1.2026e-21,Abnormality of the cardiovascular system (01626),2003.0,6,301,1,42,371,3,R-HSA-168256,Immune System,Enzyme,0.65,Disease or Syndrome (T047),disease,Q9NZ08,C0020538,ENSG00000164307,51752,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,TP53,0.96,0.26,tumor protein p53,0.99795,Abnormality of the cardiovascular system (01626),2012.0,266,301,1,1249,371,0,"R-HSA-109582,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-5357801,R-HSA-73894,R-HSA-74160,R-HSA-8953897","Hemostasis,Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Metabolism of proteins,Programmed Cell Death,DNA Repair,Gene expression (Transcription),Cellular responses to stimuli",Transcription factor,0.65,Disease or Syndrome (T047),disease,"K7PPA8,A0A087WT22,Q53GA5,P04637,A0A087X1Q1,A0A087WXZ1,H2EHT1",C0020538,ENSG00000141510,7157,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2003.0,CMA1,0.96,0.48,chymase 1,6.259e-11,Abnormality of the cardiovascular system (01626),2003.0,7,301,1,0,371,0,"R-HSA-1474244,R-HSA-162582,R-HSA-392499","Extracellular matrix organization,Signal Transduction,Metabolism of proteins",Enzyme,0.65,Disease or Syndrome (T047),disease,"P23946,Q4FEB3",C0020538,ENSG00000092009,1215,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2009.0,STK11,0.91,0.4,serine/threonine kinase 11,0.99991,Abnormality of the cardiovascular system (01626),2009.0,59,301,1,956,371,0,"R-HSA-1430728,R-HSA-162582,R-HSA-74160","Metabolism,Signal Transduction,Gene expression (Transcription)",Kinase,0.65,Disease or Syndrome (T047),disease,"A0A0S2Z4D1,Q15831",C0020538,ENSG00000118046,6794,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1991.0,RGS5,0.65,0.58,regulator of G protein signaling 5,0.00012722,Abnormality of the cardiovascular system (01626),1991.0,4,301,1,4,371,0,R-HSA-162582,Signal Transduction,Enzyme modulator,0.65,Disease or Syndrome (T047),disease,O15539,C0020538,ENSG00000143248,8490,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2004.0,PTEN,0.91,0.29,phosphatase and tensin homolog,0.048008,Abnormality of the cardiovascular system (01626),2004.0,167,301,1,1251,371,0,"R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160","Metabolism,Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription)",Enzyme,0.65,Disease or Syndrome (T047),disease,"F6KD01,P60484",C0020538,ENSG00000171862,5728,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2014.0,LTF,0.96,0.4,lactotransferrin,4.0137e-31,Abnormality of the cardiovascular system (01626),2014.0,24,301,1,2,371,0,"R-HSA-1643685,R-HSA-168256,R-HSA-392499","Disease,Immune System,Metabolism of proteins",Enzyme,0.65,Disease or Syndrome (T047),disease,"V9HWI4,P02788,B3KSL2,Q2TUW9,E7ER44",C0020538,ENSG00000012223,4057,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2013.0,ATP1A1,0.78,0.56,ATPase Na+/K+ transporting subunit alpha 1,1.0,Abnormality of the cardiovascular system (01626),2013.0,17,301,1,23,371,0,"R-HSA-1643685,R-HSA-382551,R-HSA-397014","Disease,Transport of small molecules,Muscle contraction",Transporter,0.65,Disease or Syndrome (T047),disease,P05023,C0020538,ENSG00000163399,476,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,CACNA2D1,0.83,0.54,calcium voltage-gated channel auxiliary subunit alpha2delta 1,0.99946,Abnormality of the cardiovascular system (01626),2012.0,18,301,1,123,371,0,R-HSA-112316,Neuronal System,Ion channel,0.65,Disease or Syndrome (T047),disease,"E7ERK3,Q9UIU0,P54289",C0020538,ENSG00000153956,781,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6666666666666666,,2004.0,SLC6A18,0.48,0.75,solute carrier family 6 member 18,1.294e-17,Abnormality of the cardiovascular system (01626),2004.0,1,301,1,3,371,0,"R-HSA-1643685,R-HSA-382551","Disease,Transport of small molecules",Transporter,0.65,Disease or Syndrome (T047),disease,Q96N87,C0020538,ENSG00000164363,348932,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2000.0,CRHR2,0.87,0.54,corticotropin releasing hormone receptor 2,4.7132e-18,Abnormality of the cardiovascular system (01626),2000.0,13,301,1,1,371,0,"R-HSA-162582,R-HSA-392499","Signal Transduction,Metabolism of proteins",G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,"A0A090N7T4,Q13324",C0020538,ENSG00000106113,1395,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1983.0,GNRH1,0.96,0.42,gonadotropin releasing hormone 1,0.33099,Abnormality of the cardiovascular system (01626),1983.0,34,301,1,17,371,0,R-HSA-162582,Signal Transduction,,0.65,Disease or Syndrome (T047),disease,P01148,C0020538,ENSG00000147437,2796,protein-coding,0,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2010.0,STIM1,0.91,0.47,stromal interaction molecule 1,0.99481,Abnormality of the cardiovascular system (01626),2010.0,21,301,1,257,371,0,"R-HSA-109582,R-HSA-168256,R-HSA-397014","Hemostasis,Immune System,Muscle contraction",,0.65,Disease or Syndrome (T047),disease,"Q13586,G0XQ39",C0020538,ENSG00000167323,6786,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6666666666666666,,,HSD3B1,0.65,0.57,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",0.00012486,Abnormality of the cardiovascular system (01626),,4,301,0,0,371,0,R-HSA-1430728,Metabolism,Enzyme,0.65,Disease or Syndrome (T047),disease,P14060,C0020538,ENSG00000203857,3283,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,MTR,0.91,0.46,5-methyltetrahydrofolate-homocysteine methyltransferase,2.392e-09,Abnormality of the cardiovascular system (01626),,51,301,0,169,371,0,"R-HSA-1430728,R-HSA-162582,R-HSA-1643685","Metabolism,Signal Transduction,Disease",,0.65,Disease or Syndrome (T047),disease,Q99707,C0020538,ENSG00000116984,4548,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,DIO2,0.83,0.56,iodothyronine deiodinase 2,1.3912e-06,Abnormality of the cardiovascular system (01626),,8,301,0,0,371,0,"R-HSA-1266738,R-HSA-1430728","Developmental Biology,Metabolism",,0.65,Disease or Syndrome (T047),disease,"Q92813,A8K845",C0020538,ENSG00000211448,1734,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,ITGA9,0.83,0.58,integrin subunit alpha 9,0.010458,Abnormality of the cardiovascular system (01626),,10,301,0,26,371,0,"R-HSA-1266738,R-HSA-1474244","Developmental Biology,Extracellular matrix organization",,0.65,Disease or Syndrome (T047),disease,"Q8N6H6,Q13797",C0020538,ENSG00000144668,3680,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,TRHR,0.44,0.66,thyrotropin releasing hormone receptor,0.034484,Abnormality of the cardiovascular system (01626),,14,301,0,7,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,P34981,C0020538,ENSG00000174417,7201,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7777777777777778,,,ADRA2B,0.83,0.52,adrenoceptor alpha 2B,8.2996e-07,Abnormality of the cardiovascular system (01626),,13,301,0,7,371,0,"R-HSA-109582,R-HSA-162582","Hemostasis,Signal Transduction",G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,P18089,C0020538,ENSG00000274286,151,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,CYP2R1,0.87,0.54,cytochrome P450 family 2 subfamily R member 1,2.4652e-12,Abnormality of the cardiovascular system (01626),,17,301,0,22,371,0,"R-HSA-1430728,R-HSA-1643685","Metabolism,Disease",,0.65,Disease or Syndrome (T047),disease,Q6VVX0,C0020538,ENSG00000186104,120227,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8,,,MMP1,0.91,0.37,matrix metallopeptidase 1,1.3477e-15,Abnormality of the cardiovascular system (01626),,62,301,0,1,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-168256,R-HSA-392499","Hemostasis,Extracellular matrix organization,Immune System,Metabolism of proteins",Enzyme,0.65,Disease or Syndrome (T047),disease,"P03956,B4DN15,Q53G95",C0020538,ENSG00000196611,4312,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6666666666666666,,,OGG1,0.91,0.45,8-oxoguanine DNA glycosylase,7.2253e-12,Abnormality of the cardiovascular system (01626),,57,301,0,2,371,0,"R-HSA-1643685,R-HSA-73894","Disease,DNA Repair",,0.65,Disease or Syndrome (T047),disease,"E5KPN0,E5KPN1,O15527,E5KPM8,E5KPM5,E5KPM9,E5KPM6,E5KPM7",C0020538,ENSG00000114026,4968,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,XRCC1,0.91,0.42,X-ray repair cross complementing 1,2.1913e-10,Abnormality of the cardiovascular system (01626),,97,301,0,10,371,0,R-HSA-73894,DNA Repair,,0.65,Disease or Syndrome (T047),disease,"B2RCY5,P18887,Q59HH7",C0020538,ENSG00000073050,7515,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,GCK,0.87,0.49,glucokinase,7.6033e-07,Abnormality of the cardiovascular system (01626),,26,301,0,389,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-1643685,R-HSA-74160","Developmental Biology,Metabolism,Disease,Gene expression (Transcription)",Kinase,0.65,Disease or Syndrome (T047),disease,"P35557,Q53Y25",C0020538,ENSG00000106633,2645,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7142857142857143,,,HTR2A,0.91,0.44,5-hydroxytryptamine receptor 2A,0.35656,Abnormality of the cardiovascular system (01626),,43,301,0,3,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.65,Disease or Syndrome (T047),disease,P28223,C0020538,ENSG00000102468,3356,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,ANGPT1,0.87,0.42,angiopoietin 1,0.99987,Abnormality of the cardiovascular system (01626),,15,301,0,23,371,0,"R-HSA-109582,R-HSA-162582","Hemostasis,Signal Transduction",Signaling,0.65,Disease or Syndrome (T047),disease,"B4DTQ9,Q15389",C0020538,ENSG00000154188,284,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,SLC8A1,0.83,0.54,solute carrier family 8 member A1,,Abnormality of the cardiovascular system (01626),,5,301,0,26,371,0,"R-HSA-109582,R-HSA-382551,R-HSA-397014","Hemostasis,Transport of small molecules,Muscle contraction",Transporter,0.65,Disease or Syndrome (T047),disease,"P32418,Q4QQH3",C0020538,ENSG00000183023,6546,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,UCN2,0.74,0.63,urocortin 2,0.022388,Abnormality of the cardiovascular system (01626),,4,301,0,34,371,0,R-HSA-162582,Signal Transduction,,0.65,Disease or Syndrome (T047),disease,Q96RP3,C0020538,ENSG00000145040,90226,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,F7,0.91,0.44,coagulation factor VII,,Abnormality of the cardiovascular system (01626),,26,301,0,132,371,0,"R-HSA-109582,R-HSA-392499,R-HSA-400253","Hemostasis,Metabolism of proteins,Circadian Clock",,0.65,Disease or Syndrome (T047),disease,"B4DPM2,F5H8B0,P08709",C0020538,ENSG00000057593,2155,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,,MTTP,0.83,0.47,microsomal triglyceride transfer protein,6.4626e-07,Abnormality of the cardiovascular system (01626),,11,301,0,166,371,0,R-HSA-382551,Transport of small molecules,Transporter,0.65,Disease or Syndrome (T047),disease,"P55157,B7Z7X3",C0020538,ENSG00000138823,4547,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,PTGIS,0.78,0.56,prostaglandin I2 synthase,1.1926e-15,Abnormality of the cardiovascular system (01626),,17,301,0,7,371,0,R-HSA-1430728,Metabolism,,0.65,Disease or Syndrome (T047),disease,Q16647,C0020538,ENSG00000124212,5740,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1983.0,PPBP,0.91,0.45,pro-platelet basic protein,0.00046363,Abnormality of the cardiovascular system (01626),2004.0,4,301,2,0,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-168256","Hemostasis,Signal Transduction,Immune System",Signaling,0.6,Disease or Syndrome (T047),disease,P02775,C0020538,ENSG00000163736,5473,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,OXSR1,0.52,0.7,oxidative stress responsive kinase 1,0.91335,Abnormality of the cardiovascular system (01626),2012.0,3,301,1,3,371,0,,,Kinase,0.6,Disease or Syndrome (T047),disease,O95747,C0020538,ENSG00000172939,9943,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,GSK3B,0.96,0.38,glycogen synthase kinase 3 beta,0.89836,Abnormality of the cardiovascular system (01626),2012.0,37,301,1,10,371,0,"R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-74160,R-HSA-8953897","Developmental Biology,Signal Transduction,Cell Cycle,Disease,Gene expression (Transcription),Cellular responses to stimuli",Kinase,0.6,Disease or Syndrome (T047),disease,"P49841,Q6FI27",C0020538,ENSG00000082701,2932,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2011.0,VAV3,0.78,0.57,vav guanine nucleotide exchange factor 3,4.0038e-15,Abnormality of the cardiovascular system (01626),2011.0,6,301,1,19,371,0,"R-HSA-109582,R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-9748784","Hemostasis,Developmental Biology,Signal Transduction,Disease,Immune System,Drug ADME",,0.6,Disease or Syndrome (T047),disease,Q9UKW4,C0020538,ENSG00000134215,10451,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,GP1BA,0.87,0.51,glycoprotein Ib platelet subunit alpha,0.09978,Abnormality of the cardiovascular system (01626),2012.0,18,301,1,53,371,0,"R-HSA-109582,R-HSA-1643685,R-HSA-74160","Hemostasis,Disease,Gene expression (Transcription)",Receptor,0.6,Disease or Syndrome (T047),disease,"L7UYB8,P07359",C0020538,ENSG00000185245,2811,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,AOC3,0.78,0.51,amine oxidase copper containing 3,4.3347e-15,Abnormality of the cardiovascular system (01626),2012.0,5,301,1,0,371,0,R-HSA-1430728,Metabolism,,0.6,Disease or Syndrome (T047),disease,"Q9UEU7,Q16853",C0020538,ENSG00000131471,8639,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2014.0,GSTP1,0.96,0.37,glutathione S-transferase pi 1,7.9827e-08,Abnormality of the cardiovascular system (01626),2014.0,113,301,1,2,371,0,"R-HSA-1430728,R-HSA-168256,R-HSA-8953897,R-HSA-9748784","Metabolism,Immune System,Cellular responses to stimuli,Drug ADME",,0.6,Disease or Syndrome (T047),disease,"V9HWE9,P09211",C0020538,ENSG00000084207,2950,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2007.0,TRPC3,0.91,0.56,transient receptor potential cation channel subfamily C member 3,3.3008e-09,Abnormality of the cardiovascular system (01626),2007.0,7,301,1,4,371,0,"R-HSA-109582,R-HSA-1266738,R-HSA-162582,R-HSA-382551,R-HSA-74160","Hemostasis,Developmental Biology,Signal Transduction,Transport of small molecules,Gene expression (Transcription)",Ion channel,0.6,Disease or Syndrome (T047),disease,Q13507,C0020538,ENSG00000138741,7222,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2010.0,ALAD,0.83,0.54,aminolevulinate dehydratase,0.096041,Abnormality of the cardiovascular system (01626),2010.0,18,301,1,70,371,0,"R-HSA-1430728,R-HSA-168256","Metabolism,Immune System",Enzyme,0.6,Disease or Syndrome (T047),disease,"P13716,Q6ZMU0,B7Z3I9,A0A140VJL9",C0020538,ENSG00000148218,210,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8,,2009.0,RELA,0.96,0.4,"RELA proto-oncogene, NF-kB subunit",0.99992,Abnormality of the cardiovascular system (01626),2020.0,49,301,3,8,371,0,"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-4839726,R-HSA-74160,R-HSA-8953897","Developmental Biology,Signal Transduction,Disease,Immune System,Metabolism of proteins,Chromatin organization,Gene expression (Transcription),Cellular responses to stimuli",Transcription factor,0.6,Disease or Syndrome (T047),disease,"A0A087X0W8,Q04206",C0020538,ENSG00000173039,5970,protein-coding,0,3,3
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2005.0,ATP1A2,0.87,0.51,ATPase Na+/K+ transporting subunit alpha 2,1.5754e-05,Abnormality of the cardiovascular system (01626),2005.0,23,301,2,378,371,0,"R-HSA-1643685,R-HSA-382551,R-HSA-397014","Disease,Transport of small molecules,Muscle contraction",Transporter,0.6,Disease or Syndrome (T047),disease,"P50993,A0A0S2Z3W6",C0020538,ENSG00000018625,477,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2011.0,CELA2A,0.87,0.58,chymotrypsin like elastase 2A,7.6509e-11,Abnormality of the cardiovascular system (01626),2019.0,6,301,2,10,371,4,R-HSA-1266738,Developmental Biology,Enzyme,0.6,Disease or Syndrome (T047),disease,P08217,C0020538,ENSG00000142615,63036,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,ANXA1,0.96,0.42,annexin A1,4.7246e-08,Abnormality of the cardiovascular system (01626),2012.0,23,301,1,0,371,0,"R-HSA-162582,R-HSA-168256,R-HSA-397014","Signal Transduction,Immune System,Muscle contraction",,0.6,Disease or Syndrome (T047),disease,"Q5TZZ9,P04083",C0020538,ENSG00000135046,301,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,FMO3,0.78,0.59,flavin containing dimethylaniline monoxygenase 3,4.4665e-12,Abnormality of the cardiovascular system (01626),,9,301,0,58,371,0,"R-HSA-1430728,R-HSA-1643685","Metabolism,Disease",Enzyme,0.6,Disease or Syndrome (T047),disease,"B7Z543,Q53FW5,A0A024R8Z4,P31513,B7Z3M2",C0020538,ENSG00000007933,2328,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,COL6A3,0.87,0.5,collagen type VI alpha 3 chain,1.9429e-13,Abnormality of the cardiovascular system (01626),,36,301,0,717,371,1,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582","Developmental Biology,Extracellular matrix organization,Signal Transduction",Receptor,0.6,Disease or Syndrome (T047),disease,"P12111,B7ZW00,D9ZGF2,Q8N4Z1,Q63HQ4",C0020538,ENSG00000163359,1293,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,LIPE,0.91,0.54,"lipase E, hormone sensitive type",2.2526e-17,Abnormality of the cardiovascular system (01626),,7,301,0,6,371,0,R-HSA-1430728,Metabolism,,0.6,Disease or Syndrome (T047),disease,"Q05469,A8K8W7",C0020538,ENSG00000079435,3991,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,NPHP3,0.74,0.57,nephrocystin 3,1.3726999999999998e-21,Abnormality of the cardiovascular system (01626),,20,301,0,472,371,0,R-HSA-1852241,Organelle biogenesis and maintenance,,0.6,Disease or Syndrome (T047),disease,Q7Z494,C0020538,ENSG00000113971,27031,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,CLU,0.91,0.39,clusterin,0.00056844,Abnormality of the cardiovascular system (01626),,29,301,0,11,371,0,"R-HSA-109582,R-HSA-168256","Hemostasis,Immune System",,0.6,Disease or Syndrome (T047),disease,P10909,C0020538,ENSG00000120885,1191,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1984.0,F11,0.78,0.54,coagulation factor XI,4.2204999999999996e-22,Abnormality of the cardiovascular system (01626),1984.0,10,301,1,235,371,0,"R-HSA-109582,R-HSA-1643685","Hemostasis,Disease",Enzyme,0.55,Disease or Syndrome (T047),disease,P03951,C0020538,ENSG00000088926,2160,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.5,,1984.0,F12,0.78,0.51,coagulation factor XII,2.7896e-26,Abnormality of the cardiovascular system (01626),1984.0,14,301,1,43,371,1,"R-HSA-109582,R-HSA-1643685","Hemostasis,Disease",Enzyme,0.55,Disease or Syndrome (T047),disease,"Q8IZZ5,P00748",C0020538,ENSG00000131187,2161,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,AQP1,0.87,0.45,aquaporin 1 (Colton blood group),0.013487,Abnormality of the cardiovascular system (01626),2012.0,16,301,1,7,371,0,R-HSA-382551,Transport of small molecules,Ion channel,0.55,Disease or Syndrome (T047),disease,"P29972,A0A024RA31",C0020538,ENSG00000240583,358,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2013.0,ATP2B3,0.78,0.58,ATPase plasma membrane Ca2+ transporting 3,,Abnormality of the cardiovascular system (01626),2013.0,21,301,1,19,371,0,"R-HSA-109582,R-HSA-382551,R-HSA-397014","Hemostasis,Transport of small molecules,Muscle contraction",Transporter,0.55,Disease or Syndrome (T047),disease,"A0A994J5M1,Q16720",C0020538,ENSG00000067842,492,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2009.0,GJC1,0.74,0.64,gap junction protein gamma 1,0.99974,Abnormality of the cardiovascular system (01626),2009.0,1,301,1,1,371,0,"R-HSA-112316,R-HSA-5653656","Neuronal System,Vesicle-mediated transport",Cell-cell junction,0.55,Disease or Syndrome (T047),disease,"A0A654IDC0,P36383",C0020538,ENSG00000182963,10052,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2014.0,DUSP5,0.7,0.56,dual specificity phosphatase 5,2.006e-06,Abnormality of the cardiovascular system (01626),2014.0,1,301,1,0,371,0,R-HSA-162582,Signal Transduction,,0.55,Disease or Syndrome (T047),disease,Q16690,C0020538,ENSG00000138166,1847,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,XRCC3,0.91,0.49,X-ray repair cross complementing 3,1.1578e-15,Abnormality of the cardiovascular system (01626),,34,301,0,4,371,0,R-HSA-73894,DNA Repair,,0.55,Disease or Syndrome (T047),disease,"O43542,Q53XC8",C0020538,ENSG00000126215,7517,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,COL4A5,0.91,0.51,collagen type IV alpha 5 chain,,Abnormality of the cardiovascular system (01626),,30,301,0,584,371,1,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582","Developmental Biology,Extracellular matrix organization,Signal Transduction",,0.55,Disease or Syndrome (T047),disease,"Q49AM6,P29400,A7MBN3",C0020538,ENSG00000188153,1287,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,PRKAG2,0.74,0.54,protein kinase AMP-activated non-catalytic subunit gamma 2,0.19274,Abnormality of the cardiovascular system (01626),,19,301,0,399,371,2,"R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1852241,R-HSA-5653656,R-HSA-74160,R-HSA-9612973","Neuronal System,Metabolism,Signal Transduction,Organelle biogenesis and maintenance,Vesicle-mediated transport,Gene expression (Transcription),Autophagy",Enzyme modulator,0.55,Disease or Syndrome (T047),disease,"Q9UGJ0,B7Z6X8,E9PGP6,A0A090N8Q6,A0A384MDZ2",C0020538,ENSG00000106617,51422,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.0,,,GLCE,0.52,0.69,glucuronic acid epimerase,0.96461,Abnormality of the cardiovascular system (01626),,2,301,0,0,371,0,R-HSA-1430728,Metabolism,,0.55,Disease or Syndrome (T047),disease,O94923,C0020538,ENSG00000138604,26035,protein-coding,0,0,0
